#      Temp          vlos          vturb         n_e
      6155.65       45974.2       843889.   2.73004e+11
      6187.35       96326.3       867429.   1.82362e+11
      6159.46       149672.       773083.   2.39418e+11
      6240.41       425276.       699923.   2.42768e+11
      6217.58       218875.       704284.   1.95656e+11
      6227.99       511944.       597981.   2.96225e+11
      6293.89      -22007.8       754541.   2.34993e+11
      6166.69       8129.81       832564.   2.58016e+11
      6210.33       68983.6       710377.   2.98882e+11
      6271.55       266204.       661405.   3.00511e+11
      6218.46       788624.       565337.   3.20499e+11
      6092.38       141989.       601509.   1.63077e+11
      6490.42      -99355.5       806900.   2.77848e+11
      6322.13       26969.7       716403.   2.15985e+11
      6269.66       59483.2       712679.   2.15470e+11
      6249.64       201065.       489512.   2.90084e+11
      6182.25       19773.9       751315.   2.88320e+11
      6177.23      -17688.3       592328.   2.31290e+11
      6021.39       95244.7       748963.   2.23278e+11
      5947.47       60741.0       690622.   1.81886e+11
      6066.34       82887.4       843176.   1.77221e+11
      5876.91      -593.489       822466.   1.64228e+11
      5953.42      -67530.2       780074.   1.78946e+11
      6000.70      -44741.8       745451.   1.83576e+11
      6297.35      -41371.4       508627.   2.63095e+11
      5998.63       242164.       651662.   2.09970e+11
      6193.58       75653.5       759251.   2.66156e+11
      6013.13      -225750.       622856.   2.04004e+11
      6122.34      -949770.       330992.   2.90019e+11
      6209.47      -1659.61       579078.   2.51507e+11
      6209.47      -1659.61       579078.   2.51507e+11
      6270.27      -172522.       736073.   2.76276e+11
      6298.56      -48966.2       798686.   2.23444e+11
      6288.60       111971.       794229.   2.20217e+11
      6288.60       111971.       794229.   2.20217e+11
      6288.60       111971.       794229.   2.20217e+11
      6040.92       39794.9       863726.   2.40336e+11
      6026.68       109180.       861182.   2.23116e+11
      6049.32       169987.   1.00027e+06   1.95593e+11
      6228.23       211755.       712598.   2.02194e+11
      6057.33       110870.       871300.   1.94886e+11
      5978.06       164224.       750477.   1.68345e+11
      6013.13      -225750.       622856.   2.04004e+11
      6031.42      -465304.       703142.   1.95790e+11
      5821.87      -300532.       580287.   1.79643e+11
      6128.36       53151.7       814446.   2.07523e+11
      6148.28       185557.       520053.   2.32513e+11
      6131.16      -161539.       644727.   2.74051e+11
      6131.16      -161539.       644727.   2.74051e+11
      6068.87      -780501.       213371.   2.72766e+11
      6004.32      -93291.6       628398.   2.48656e+11
      6087.47      -79392.7       438937.   2.79808e+11
      6315.74      -206418.       579412.   2.72464e+11
      6315.74      -206418.       579412.   2.72464e+11
      6451.46      -19620.6       696931.   2.85064e+11
      6451.46      -19620.6       696931.   2.85064e+11
      6319.58       7474.19       618722.   2.57745e+11
      6193.00       55992.5       843607.   1.79613e+11
      6004.11       232038.       689234.   1.87639e+11
      6161.77       153643.       715020.   2.40803e+11
      5966.59       46856.2       650732.   2.22103e+11
      5999.06       48993.0       738041.   2.12345e+11
      5999.06       48993.0       738041.   2.12345e+11
      5982.61      -175293.       545609.   2.28318e+11
      5907.06      -18933.3       717125.   2.02201e+11
      6042.09       52407.3       775353.   2.27597e+11
      6310.97       119952.       544244.   2.45942e+11
      6402.29       149253.       537361.   2.66897e+11
      5932.17      -42172.0       671674.   2.03321e+11
      6009.66       45031.8       683441.   2.12621e+11
      6176.89       154746.       400256.   2.25554e+11
      6141.34       7268.71       643688.   2.40624e+11
      6126.41      -51883.0       691409.   2.66036e+11
      5903.27       96069.4       562350.   1.45661e+11
      6352.52      -4338.89       474984.   2.52836e+11
      5919.11      -17875.9       692976.   2.21928e+11
      6065.10      -22089.4       728110.   2.30017e+11
      6699.21       693.772       514314.   3.82563e+11
      6206.27       56771.9       494084.   2.11403e+11
      6283.31       139867.       567802.   2.21668e+11
      6165.33       87879.6       684801.   1.68745e+11
      5937.52       31573.2       813762.   2.19985e+11
      5818.09       54045.3       772925.   1.82021e+11
      6142.63      -299823.       527494.   2.11409e+11
      6051.37      -43571.4       483179.   1.96147e+11
      5910.42      -39736.5       750274.   1.96289e+11
      5987.72      -103594.       825232.   1.30227e+11
      5987.72      -103594.       825232.   1.30227e+11
      6075.17       16544.0       861457.   2.34545e+11
      5999.88       31852.0       832399.   1.96410e+11
      5918.31      -2019.92       823415.   1.99923e+11
      6042.09       52407.3       775353.   2.27597e+11
      5937.52       31573.2       813762.   2.19985e+11
      6126.23       42323.7       755307.   2.63268e+11
      5900.59       43966.1       460282.   1.78156e+11
      6126.23       42323.7       755307.   2.63268e+11
      6120.74      -72663.2       782949.   2.63545e+11
      6126.23       42323.7       755307.   2.63268e+11
      6126.23       42323.7       755307.   2.63268e+11
      6238.72       116151.       719854.   2.48406e+11
      6275.93       300273.       489588.   2.56844e+11
      6249.64       201065.       489512.   2.90084e+11
      6249.64       201065.       489512.   2.90084e+11
      6275.61       131985.       439009.   2.59383e+11
      6072.87       93923.1       683763.   2.63849e+11
      6050.98      -152302.       514786.   2.06572e+11
      6114.16       99376.9       489056.   2.03111e+11
      6283.31       139867.       567802.   2.21668e+11
      6227.02       319005.       530111.   2.31579e+11
      6175.48       164931.       420679.   2.29160e+11
      6518.75       182540.       419652.   2.99906e+11
      6176.89       154746.       400256.   2.25554e+11
      5919.11      -17875.9       692976.   2.21928e+11
      6065.10      -22089.4       728110.   2.30017e+11
      6168.60       20414.3       492104.   2.21816e+11
      6206.27       56771.9       494084.   2.11403e+11
      6131.43       67896.9       458543.   2.23132e+11
      6320.88       329376.       467417.   2.45674e+11
      6136.37       286787.       575271.   2.41464e+11
      6264.76       50057.2       440346.   2.67813e+11
      6075.62       73198.9       596637.   2.08941e+11
      6153.66      -24551.9       888090.   2.48359e+11
      6218.77       128060.       600394.   2.43952e+11
      6228.40       138618.       835270.   2.75837e+11
      6180.95       121596.       807660.   2.82363e+11
      6247.37      -106029.       687117.   2.44816e+11
      6247.37      -106029.       687117.   2.44816e+11
      6323.80       75005.6       826462.   2.22907e+11
      6265.42       134916.       697826.   2.48268e+11
      6089.93       170025.       658229.   2.33326e+11
      6089.93       170025.       658229.   2.33326e+11
      6207.99       85982.2       682251.   2.29743e+11
      6507.23       89477.7       896880.   2.91906e+11
      6335.02       241003.       869558.   3.31398e+11
      6322.81       224014.       762623.   2.22619e+11
      6121.87       65604.7       849021.   2.19375e+11
      6276.77       94169.2       657191.   2.83756e+11
      6430.58       230284.       635628.   2.94397e+11
      6374.70       33166.6       798551.   2.39313e+11
      6822.64       425033.       714688.   3.64385e+11
      6292.05       732478.       779073.   3.01934e+11
      6352.88       43844.6       853928.   2.29627e+11
      6350.14       229780.       809444.   2.31640e+11
      6345.81       43531.0       871256.   2.20688e+11
      5881.36       17971.7       580035.   1.85654e+11
      6014.76       259988.       617145.   2.09270e+11
      6161.18       236689.       616576.   2.35288e+11
      6090.42       147977.       513030.   2.36375e+11
      5986.97       342355.       502124.   2.18076e+11
      5907.33       359307.       390316.   1.90908e+11
      6171.50      -41358.2       673291.   3.22170e+11
      6156.19       17525.9       502884.   2.72404e+11
      6180.53       9238.34       551075.   2.47366e+11
      6566.51       179649.       480831.   3.30895e+11
      5952.11       324247.       415066.   1.93154e+11
      6234.71       89151.4       517029.   3.07937e+11
      6209.17       112604.       758526.   3.19091e+11
      6278.16       30955.8       667937.   3.26081e+11
      6207.89      -18406.8       748994.   2.00268e+11
      6121.87       65604.7       849021.   2.19375e+11
      6121.87       65604.7       849021.   2.19375e+11
      6344.10      -217930.       726240.   3.20566e+11
      6121.87       65604.7       849021.   2.19375e+11
      6289.81       473445.       652869.   2.96656e+11
      6201.81       27880.5       909135.   1.94880e+11
      6235.18      -69580.6   1.01246e+06   2.39815e+11
      5951.01      -282888.       937783.   1.70575e+11
      5737.97      -335118.       820411.   1.54662e+11
      6049.45      -276711.       665464.   2.04345e+11
      6069.69      -246273.       624092.   1.86619e+11
      6193.96      -51419.1       611141.   2.37652e+11
      6086.93      -117442.       870880.   2.38355e+11
      6091.20       64394.8       685331.   2.59140e+11
      5877.59       84983.1       458504.   1.93015e+11
      6205.83       248323.       535452.   2.44456e+11
      6247.02       138802.       765098.   2.85736e+11
      6174.88       64956.0       579468.   2.43221e+11
      6185.83       114817.       468505.   2.55130e+11
      6061.27       403746.       534887.   2.26084e+11
      6144.69       72775.0       402369.   2.54571e+11
      6405.28       111536.       310781.   2.91748e+11
      6245.96       112757.       464151.   2.89276e+11
      6192.65      -27205.5       904124.   1.73937e+11
      5988.04      -283941.       533815.   2.02315e+11
      6316.16      -69441.2       630201.   2.41300e+11
      5966.13       17430.2       841997.   2.19684e+11
      5970.37      -89971.8       935784.   2.01839e+11
      6004.94      -11123.0       865601.   2.18833e+11
      6117.96       481840.       584334.   2.37023e+11
      6274.12       297337.       479983.   2.68194e+11
      6097.73       276892.       403046.   2.28814e+11
      6149.53       63068.3       662565.   2.79620e+11
      6327.07       251066.       474731.   2.96040e+11
      5952.11       324247.       415066.   1.93154e+11
      6144.69       72775.0       402369.   2.54571e+11
      6065.12       54963.2       322624.   2.34066e+11
      5965.62       107400.       630606.   2.41096e+11
      6128.35       91765.0       510031.   2.26049e+11
      6460.27       57894.9       563314.   2.83444e+11
      6089.64       122363.       468425.   2.17609e+11
      5973.31      -51800.6       658150.   2.27961e+11
      5861.18       35522.2       733530.   2.03360e+11
      6292.52       46559.4       362686.   3.10863e+11
      6037.82       227916.       346211.   1.96394e+11
      5956.85       125612.       366841.   1.80438e+11
      6245.96       112757.       464151.   2.89276e+11
      5940.66       26678.1       813812.   2.23392e+11
      6095.33       79614.0       760472.   2.63929e+11
      5984.35       3161.93       427824.   2.18193e+11
      6110.47      -76513.0       649556.   1.94727e+11
      6143.40      -125246.       534187.   2.33880e+11
      6226.93      -27140.2       609668.   2.33093e+11
      6064.12       40491.2       589091.   2.71475e+11
      6093.29       131244.       664742.   2.32899e+11
      6116.83       215421.       538799.   2.32722e+11
      6243.38       259454.       667902.   2.37622e+11
      6137.91       345584.       586506.   2.27814e+11
      6363.59       87252.2       638461.   2.51155e+11
      5996.42       32287.2       880615.   2.14306e+11
      6180.95       121596.       807660.   2.82363e+11
      6362.67       38011.3       645908.   2.58228e+11
      6235.73       38501.9       620121.   2.41140e+11
      6235.73       38501.9       620121.   2.41140e+11
      6090.42       147977.       513030.   2.36375e+11
      6219.20      -51330.9       563616.   2.54697e+11
      6256.94       287298.       497872.   2.67348e+11
      6110.78       324333.       502165.   2.35878e+11
      6505.34       422043.       517293.   2.86712e+11
      6081.20       139914.       525996.   2.07603e+11
      6234.71       89151.4       517029.   3.07937e+11
      6325.75      -93609.1       745778.   3.64241e+11
      6242.53      -106473.       852650.   2.66077e+11
      6013.89  -1.01936e+06       567419.   2.21054e+11
      5917.74      -60813.2       598442.   2.10167e+11
      5917.74      -60813.2       598442.   2.10167e+11
      5758.72       157031.       810814.   1.57302e+11
      6075.17       16544.0       861457.   2.34545e+11
      6068.29       98824.5       720437.   2.36024e+11
      6411.67      -15753.9       716221.   3.49691e+11
      6323.54      -269342.       936830.   2.36336e+11
      6293.38      -59945.0       987739.   3.11532e+11
      6260.10      -196871.       612304.   2.29134e+11
      5988.04      -283941.       533815.   2.02315e+11
      6121.87       65604.7       849021.   2.19375e+11
      6767.42       96602.0       768829.   3.51526e+11
      6377.60      -18598.8       732664.   2.59422e+11
      6351.04       671.496       857481.   3.28637e+11
      6339.33       198920.       952859.   3.03804e+11
      6181.65      -92174.0   1.09372e+06   2.28309e+11
      6153.02      -46328.3       933769.   2.07222e+11
      6145.70       130990.       727612.   2.24573e+11
      6250.26       32493.6       714836.   2.01883e+11
      6187.35       19373.4       830209.   2.60413e+11
      6301.48       120741.       868807.   2.13387e+11
      6398.00      -115982.       845075.   2.38577e+11
      6233.27       43560.5       789480.   2.09748e+11
      6454.43      -85377.3       967140.   2.64639e+11
      6260.93      -63786.3       902980.   2.62187e+11
      6087.47       153129.       638947.   2.53336e+11
      6087.47       153129.       638947.   2.53336e+11
      6087.47       153129.       638947.   2.53336e+11
      6135.10      -51380.0       864056.   2.75623e+11
      6362.74       14276.9       887109.   2.39338e+11
      6398.00      -115982.       845075.   2.38577e+11
      6465.40      -38520.4       877788.   2.80646e+11
      6143.53       81932.5       698352.   2.38294e+11
      6208.04       2379.37       678198.   2.81537e+11
      6187.29       224866.       687483.   2.80155e+11
      5999.55       342022.       622067.   2.43495e+11
      5925.56       281031.       984035.   1.74997e+11
      5900.59       43966.1       460282.   1.78156e+11
      6362.15       105433.       862563.   3.63440e+11
      6168.14       297440.       625658.   2.70094e+11
      5917.61       175074.       497795.   1.99500e+11
      6174.48       776501.       939075.   2.56252e+11
      5845.47       322988.       933834.   1.61092e+11
      6135.67       49348.7       756977.   1.91396e+11
      6307.38       114460.       675435.   2.09790e+11
      6057.25       438667.       667336.   2.19471e+11
      6234.25       241793.       633478.   2.38974e+11
      6178.31       255208.       505617.   2.62934e+11
      6398.12       98084.9       496836.   3.00335e+11
      6341.98       76059.2       699143.   3.35957e+11
      6058.26      -52993.4       589351.   2.83436e+11
      6475.57       127290.       761214.   3.12008e+11
      6112.61       304221.       555078.   2.39486e+11
      6150.05      -44228.5       598343.   1.82956e+11
      6174.84       444425.       529712.   2.45294e+11
      6143.12      -509486.       533728.   2.63583e+11
      6058.26      -52993.4       589351.   2.83436e+11
      6322.99       66446.9       636278.   2.28583e+11
      6419.72       71528.3       777764.   4.06996e+11
      6378.37      -41592.0       817365.   3.56812e+11
      6102.31      -160958.       680361.   2.69691e+11
      6340.68      -110513.       728601.   3.04245e+11
      6526.79      -759310.       665462.   4.13736e+11
      6309.50      -394767.       695200.   3.23278e+11
      6300.30      -185657.       814981.   2.10921e+11
      6226.40      -364586.       647759.   1.97127e+11
      6235.95      -135746.       898539.   2.56006e+11
      6559.40      -90951.5       966660.   3.06923e+11
      6123.73      -26010.6   1.11570e+06   2.15171e+11
      6235.95      -135746.       898539.   2.56006e+11
      6379.14       242647.       733666.   2.75703e+11
      6266.87       600062.       559816.   3.27777e+11
      6017.63       514136.       581728.   2.31565e+11
      6017.30       96126.8       538027.   2.84312e+11
      5866.00   1.85045e+06       318075.   2.30137e+11
      6174.48       776501.       939075.   2.56252e+11
      6051.12       464234.   1.10124e+06   2.21559e+11
      6114.21   2.22292e+06       932816.   2.05781e+11
      6224.44       169722.       977616.   2.25563e+11
      6181.36      -855869.       483041.   3.04763e+11
      6154.90      -933190.       624466.   3.08587e+11
      6058.26      -52993.4       589351.   2.83436e+11
      6248.00      -553691.       546989.   2.45383e+11
      6143.12      -509486.       533728.   2.63583e+11
      6142.28       120258.       429303.   2.18447e+11
      6030.63       149377.       731650.   2.16830e+11
      6389.10       33626.8       840402.   2.55484e+11
      6332.38       226823.       833167.   2.33645e+11
      6262.00       128611.       700084.   2.56163e+11
      6393.55       275447.       683758.   2.79112e+11
      6343.13      -170715.       832935.   3.61366e+11
      6118.64      -154204.       675292.   1.73394e+11
      5887.66      -40621.3       571248.   1.95720e+11
      6314.34      -51236.3       854724.   2.30131e+11
      6235.73       38501.9       620121.   2.41140e+11
      5887.66      -40621.3       571248.   1.95720e+11
      6095.24       299932.       586981.   2.04067e+11
      6383.21   1.95252e+06       453653.   3.05928e+11
      6045.33       68067.1       585765.   2.91931e+11
      6045.33       68067.1       585765.   2.91931e+11
      6063.57       301345.       470105.   2.42805e+11
      6368.11       364968.       796028.   3.69497e+11
      5887.66      -40621.3       571248.   1.95720e+11
      6110.23       220501.       552152.   2.14912e+11
      5764.90       97063.4       353394.   1.49869e+11
