#      Temp          vlos          vturb         n_e
      375.069       714186.       245878.   2.55155e+11
      129.000       303488.       62723.3   2.86291e+11
      168.746       272996.       50564.5   1.73890e+11
      335.539       379897.       199863.   1.79825e+11
      260.810       388135.       128139.   1.48135e+12
      124.543       132908.       56958.2   4.18236e+11
      549.501       894236.       374313.   4.53099e+11
      184.532       397403.       95991.7   3.17532e+11
      194.351       365854.       106568.   2.44527e+11
      187.667       473835.       87447.4   1.33628e+11
      285.739       540244.       166353.   3.74039e+11
      304.091       905209.       196639.   6.39499e+11
      135.851       248924.       44099.8   1.42929e+11
      205.759       415211.       116591.   3.02648e+11
      262.984       412894.       162940.   4.39946e+11
      161.640       307768.       103628.   1.47220e+11
      115.071       183497.       63615.9   1.88849e+11
      325.932       516377.       232775.   2.58414e+11
      289.802       817824.       170423.   2.66217e+11
      880.966   1.72696e+06       917732.   3.65251e+11
      254.919       410816.       190455.   5.52834e+11
      122.893       227481.       65781.3   1.48807e+11
      131.481       298969.       68651.3   2.43933e+11
      376.680   1.02662e+06       265375.   4.67024e+11
      121.182       276803.       58462.2   2.02212e+11
      222.546       389308.       105665.   7.09400e+11
      215.471       376635.       102912.   6.91712e+11
      315.469       516937.       190802.   6.70595e+11
      420.275   1.05709e+06       295322.   5.12494e+11
      363.715       612520.       259298.   5.45733e+11
      372.345       622955.       263166.   5.72218e+11
      377.203       633311.       271004.   5.69505e+11
      162.759       249520.       77669.0   4.28963e+11
      172.404       365362.       97928.2   4.17187e+11
      167.567       251223.       48237.0   1.06856e+11
      249.609       392492.       147255.   3.27532e+11
      263.058       459562.       176251.   2.40768e+11
      384.120       673249.       276637.   3.03155e+11
      364.566   1.01486e+06       264298.   4.44662e+11
      239.419       444912.       152693.   6.06712e+11
      157.857       342347.       101583.   1.45646e+11
      118.937       205630.       50601.5   1.95531e+11
      263.503       368230.       150148.   4.38435e+11
      783.098   2.54188e+06   1.25712e+06   1.39834e+12
      1012.73   3.39565e+06   1.65868e+06   1.83595e+12
      256.416       384835.       74749.0   2.57593e+11
      121.063       267376.       45074.7   2.01675e+11
      764.220   1.53482e+06       637596.   4.83100e+11
      119.094       404256.       55807.2   2.21928e+11
      107.417       360703.       50410.4   2.01638e+11
      334.729       561958.       236515.   3.27337e+11
      356.015       600759.       254352.   3.40297e+11
      359.221   1.19545e+06       141262.   3.06847e+11
      410.519       787512.       295259.   3.78929e+11
      148.121       279381.       72907.3   2.12397e+11
      185.819       189186.       50272.1   1.29613e+11
      103.340       317257.       54075.7   2.40036e+11
      200.467       346474.       106103.   2.28086e+11
      230.742       398810.       121126.   2.60688e+11
      234.938       278492.       65655.0   1.56647e+11
      136.062       221190.       64705.3   4.21073e+11
      73.5464       227629.       30606.2   1.48718e+11
      457.752       916319.       308156.   3.01031e+11
      342.033       734071.       217175.   2.06212e+12
      148.954       218655.       72346.6   6.44799e+11
      118.398       208410.       52164.6   1.48980e+11
      128.414       175703.       55250.4   1.79376e+11
      157.170       385314.       56414.0   1.11318e+12
      178.614       190650.       45285.2   1.43571e+11
      243.731       746107.       144417.   5.95969e+11
      224.483       275061.       105289.   7.65296e+11
      109.010       180686.       53882.8   1.49318e+11
      246.756       293160.       159499.   1.04366e+12
      167.692       337592.       75768.5   4.78775e+11
      344.486       636317.       214673.   4.52531e+11
      174.336       187468.       43348.6   1.60700e+11
      222.188       368785.       114117.   3.08609e+11
      183.050       7990.52       3029.85   9.47783e+10
      127.493       320228.       71232.5   1.31501e+11
      105.439       189879.       28663.1   1.31265e+11
      555.530   5.21592e+06       318170.   8.92956e+11
      103.995       175687.       50972.5   1.70436e+11
